F, L, R, RW, LW, CE, E 
20.1593168644, 71.0027303167, 107.451400183, 0, 0, 0, 0,
20.0090248438, 71.0027303167, 105.772030603, 0, 0, 0, 0,
20.0090248438, 70.4851787106, 106.326122685, 0, 0, 0, 0,
20.3873248521, 71.2640988702, 108.022769298, 0, 0, 0, 0,
20.1593168644, 70.7430962202, 109.772943263, 0, 0, 0, 0,
19.9343856218, 66.1172349026, 93.9680832254, 0, 0, 0, 0,
18.611570758, 60.6035595695, 97.1401901496, 0, 0, 0, 0,
20.1216164181, 71.0027303167, 108.600084494, 0, 0, 0, 0,
20.1593168644, 70.4851787106, 108.022769298, 0, 0, 0, 0,
20.3109762888, 70.2289601667, 107.451400183, 0, 0, 0, 0,
19.5661638382, 66.810981387, 102.561645139, 0, 0, 0, 0,
20.0464707065, 70.4851787106, 107.451400183, 0, 0, 0, 0,
19.6026176809, 65.4362679066, 100.026926809, 0, 0, 0, 0,
20.1593168644, 70.4851787106, 106.326122685, 0, 0, 0, 0,
20.084001132, 64.9892097308, 97.6101426548, 0, 0, 0, 0,
20.084001132, 70.7430962202, 104.680495125, 0, 0, 0, 0,
19.9343856218, 66.3470454431, 98.5632561505, 0, 0, 0, 0,
20.084001132, 70.4851787106, 104.680495125, 0, 0, 0, 0,
20.1216164181, 70.4851787106, 105.223517094, 0, 0, 0, 0,
18.611570758, 67.2807646511, 104.680495125, 0, 0, 0, 0,
20.0090248438, 70.2289601667, 105.223517094, 0, 0, 0, 0,
20.084001132, 70.4851787106, 105.223517094, 0, 0, 0, 0,
20.3873248521, 70.4851787106, 109.183442764, 0, 0, 0, 0,
20.1593168644, 70.4851787106, 105.772030603, 0, 0, 0, 0,
18.4748414603, 68.4815715852, 102.561645139, 0, 0, 0, 0,
20.1216164181, 70.4851787106, 106.88588226, 0, 0, 0, 0,
19.8230536414, 66.810981387, 92.6684217688, 0, 0, 0, 0,
20.3873248521, 70.7430962202, 108.600084494, 0, 0, 0, 0,
20.234974442, 70.7430962202, 108.600084494, 0, 0, 0, 0,
18.611570758, 67.0451349474, 101.533036819, 0, 0, 0, 0,
20.0464707065, 71.7921121015, 105.223517094, 0, 0, 0, 0,
20.234974442, 70.7430962202, 104.680495125, 0, 0, 0, 0,
20.4640226032, 70.7430962202, 105.772030603, 0, 0, 0, 0,
19.5297908107, 71.0027303167, 109.183442764, 0, 0, 0, 0,
20.084001132, 70.4851787106, 107.451400183, 0, 0, 0, 0,
20.1216164181, 71.0027303167, 105.772030603, 0, 0, 0, 0,
20.084001132, 68.726370722, 110.368687365, 0, 0, 0, 0,
20.349107077, 71.0027303167, 105.223517094, 0, 0, 0, 0,
18.7148909704, 63.8950291014, 87.4101906563, 0, 0, 0, 0,
20.084001132, 71.0027303167, 104.680495125, 0, 0, 0, 0,
20.1216164181, 68.9727520982, 105.772030603, 0, 0, 0, 0,
20.1216164181, 70.4851787106, 104.680495125, 0, 0, 0, 0,
20.1971027716, 71.0027303167, 105.772030603, 0, 0, 0, 0,
20.0090248438, 70.7430962202, 109.183442764, 0, 0, 0, 0,
20.084001132, 71.0027303167, 109.183442764, 0, 0, 0, 0,
