F, L, R, RW, LW, CE, E
55.8491144526, 86.6509891456, 80.3374969028, 0, 0, 0, 0,
56.3642023859, 87.0290305402, 80.3374969028, 0, 0, 0, 0,
56.0199058822, 87.4101906563, 80.3374969028, 0, 0, 0, 0,
52.1539175293, 81.3292278447, 75.9913561069, 0, 0, 0, 0,
56.5377224368, 90.5767322246, 80.9961317556, 0, 0, 0, 0,
49.2648273726, 81.6648832555, 76.8856362661, 0, 0, 0, 0,
56.3642023859, 88.1820288795, 80.3374969028, 0, 0, 0, 0,
56.3642023859, 83.7343208522, 80.6655647072, 0, 0, 0, 0,
56.3642023859, 85.5351848267, 80.3374969028, 0, 0, 0, 0,
56.5377224368, 88.1820288795, 80.3374969028, 0, 0, 0, 0,
49.2648273726, 82.6875157102, 75.9913561069, 0, 0, 0, 0,
56.5377224368, 85.5351848267, 79.6887422049, 0, 0, 0, 0,
56.5377224368, 87.4101906563, 80.0118990209, 0, 0, 0, 0,
49.2648273726, 82.6875157102, 75.9913561069, 0, 0, 0, 0,
54.0278957754, 80.3374969028, 73.977298374, 0, 0, 0, 0,
56.1915993778, 85.1692291923, 78.4199642446, 0, 0, 0, 0,
53.8673772468, 79.6887422049, 76.8856362661, 0, 0, 0, 0,
49.402853645, 82.0031287637, 75.6975029468, 0, 0, 0, 0,
56.3642023859, 86.2760268879, 80.0118990209, 0, 0, 0, 0,
54.0278957754, 82.34399565, 73.697544251, 0, 0, 0, 0,
57.0638614304, 87.4101906563, 80.3374969028, 0, 0, 0, 0,
56.1915993778, 87.7945097731, 80.9961317556, 0, 0, 0, 0,
56.1915993778, 87.7945097731, 80.6655647072, 0, 0, 0, 0,
56.5377224368, 88.1820288795, 80.3374969028, 0, 0, 0, 0,
56.5377224368, 88.1820288795, 78.1085955603, 0, 0, 0, 0,
47.3978458314, 75.6975029468, 72.3272840309, 0, 0, 0, 0,
56.5377224368, 85.5351848267, 80.0118990209, 0, 0, 0, 0,
56.5377224368, 84.8062010049, 80.3374969028, 0, 0, 0, 0,
56.3642023859, 84.4460639337, 81.3292278447, 0, 0, 0, 0,
54.0278957754, 82.34399565, 76.2873136017, 0, 0, 0, 0,
56.1915993778, 87.0290305402, 80.3374969028, 0, 0, 0, 0,
56.5377224368, 87.4101906563, 80.3374969028, 0, 0, 0, 0,
50.2447651891, 83.3826451778, 76.8856362661, 0, 0, 0, 0,
56.1915993778, 85.1692291923, 80.3374969028, 0, 0, 0, 0,
56.5377224368, 87.7945097731, 78.733636375, 0, 0, 0, 0,
56.887544214, 86.6509891456, 80.3374969028, 0, 0, 0, 0,
56.5377224368, 85.9041048618, 80.3374969028, 0, 0, 0, 0,
56.3642023859, 82.34399565, 80.9961317556, 0, 0, 0, 0,
56.5377224368, 84.8062010049, 80.9961317556, 0, 0, 0, 0,
56.5377224368, 87.0290305402, 80.3374969028, 0, 0, 0, 0,
56.1915993778, 84.8062010049, 80.0118990209, 0, 0, 0, 0,
56.1915993778, 87.4101906563, 80.3374969028, 0, 0, 0, 0,
54.1892331356, 79.6887422049, 74.5426743325, 0, 0, 0, 0,
54.0278957754, 85.5351848267, 74.2590013217, 0, 0, 0, 0,
56.887544214, 85.1692291923, 80.0118990209, 0, 0, 0, 0,
56.3642023859, 86.2760268879, 80.0118990209, 0, 0, 0, 0,
56.3642023859, 88.9668346623, 80.0118990209, 0, 0, 0, 0,
56.3642023859, 84.4460639337, 80.9961317556, 0, 0, 0, 0,
54.0278957754, 82.34399565, 73.1437990683, 0, 0, 0, 0,
56.3642023859, 88.1820288795, 80.3374969028, 0, 0, 0, 0,
56.3642023859, 86.2760268879, 80.0118990209, 0, 0, 0, 0,
56.7121671457, 87.7945097731, 80.3374969028, 0, 0, 0, 0,
49.5415268893, 85.1692291923, 77.1880496787, 0, 0, 0, 0,
