F, L, R, RW, LW, CE, E 
45.1635033411, 86.6509891456, 105.772030603, 0, 0, 0, 0,
43.7677682288, 82.0031287637, 98.0844766581, 0, 0, 0, 0,
45.5237691756, 88.1820288795, 105.223517094, 0, 0, 0, 0,
45.5237691756, 90.1691106009, 105.772030603, 0, 0, 0, 0,
45.2830736349, 87.7945097731, 105.772030603, 0, 0, 0, 0,
45.1635033411, 87.7945097731, 105.772030603, 0, 0, 0, 0,
45.4031610817, 86.2760268879, 105.223517094, 0, 0, 0, 0,
39.5815194579, 77.79950407, 92.6684217688, 0, 0, 65.3270658906, 9.58151945793,
43.9954973923, 87.7945097731, 102.044837878, 0, 0, 79.7532207162, 13.9954973923,
40.8696658337, 89.764950729, 105.223517094, 0, 0, 77.8494239326, 10.8696658337,
33.9930916111, 93.5310222243, 102.561645139, 0, 0, 59.6281107952, 3.99309161107,
26.9891083402, 74.2590013217, 105.772030603, 0, 0, 38.908680298, -3.01089165984,
20.5797294213, 63.4664814046, 41.4866815543, 0, 0, 16.1123065586, -9.42027057866,
20.0464707065, 97.1401901496, 20.1216164181, 0, 0, 4.85486974127, -9.95352929351,
20.0090248438, 103.610586789, 23.8965882165, 0, 0, -5.32964150065, -9.99097515624,
18.8885840572, 93.0978193429, 23.8499082336, 0, 0, -18.0804907873, -11.1114159428,
20.0464707065, 103.610586789, 24.1791890655, 0, 0, -25.9073936388, -9.95352929351,
20.5797294213, 85.9041048618, 21.6581477541, 0, 0, -32.4415922238, -9.42027057866,
21.534920214, 69.2207317082, 21.2105540561, 0, 0, -39.5154415098, -8.46507978603,
23.118868129, 119.427331262, 82.0031287637, 0, 0, -43.4478647617, -6.88113187102,
25.1535613113, 90.5767322246, 93.0978193429, 0, 0, -42.9142905169, -4.84643868865,
28.4140414358, 89.3642070113, 99.5344139795, 0, 0, -35.8233570296, -1.58595856417,
30.7240018875, 85.5351848267, 86.6509891456, 0, 0, -27.1457271399, 0.724001887466,
32.2271384057, 80.9961317556, 87.4101906563, 0, 0, -19.2671870238, 2.22713840566,
36.4966201394, 86.6509891456, 93.5310222243, 0, 0, -4.1331854381, 6.4966201394,
37.0134486413, 91.8208361568, 93.0978193429, 0, 0, 4.15041739936, 7.01344864132,
33.2402925745, 87.4101906563, 90.9878620282, 0, 0, 1.88163401291, 3.24029257449,
36.8399334735, 90.1691106009, 96.213179863, 0, 0, 15.5849974317, 6.83993347348,
36.926534733, 89.3642070113, 96.213179863, 0, 0, 21.9148457584, 6.92653473301,
35.4139024274, 84.0887822575, 85.5351848267, 0, 0, 23.8075948665, 5.41390242738,
33.019273156, 83.7343208522, 90.5767322246, 0, 0, 22.1646210615, 3.01927315595,
33.9930916111, 88.1820288795, 96.213179863, 0, 0, 26.3438780418, 3.99309161107,
32.15651414, 90.5767322246, 96.6745563963, 0, 0, 23.2437280008, 2.15651414002,
30.2669731309, 92.242777667, 97.1401901496, 0, 0, 18.6805798727, 0.266973130936,
28.1208421785, 91.8208361568, 90.1691106009, 0, 0, 11.0380067834, -1.87915782152,
27.9469436073, 92.6684217688, 93.5310222243, 0, 0, 7.06360762736, -2.05305639274,
27.9469436073, 94.8539958628, 93.5310222243, 0, 0, 4.94626804047, -2.05305639274,
28.0047431433, 93.9680832254, 91.4025472897, 0, 0, 1.52779098047, -1.9952568567,
28.0627090844, 94.8539958628, 90.9878620282, 0, 0, -1.90180739665, -1.93729091555,
27.9469436073, 95.3029582232, 91.4025472897, 0, 0, -5.12012187907, -2.05305639274,
27.6035995905, 97.1401901496, 93.5310222243, 0, 0, -7.97307933881, -2.39640040951,
27.8893097331, 90.1691106009, 91.8208361568, 0, 0, -9.84317180476, -2.1106902669,
27.7173947169, 83.7343208522, 90.9878620282, 0, 0, -11.9626496065, -2.28260528313,
28.0047431433, 95.3029582232, 94.4090561591, 0, 0, -12.2928447487, -1.9952568567,
27.8893097331, 97.6101426548, 93.9680832254, 0, 0, -12.6163245472, -2.1106902669,
27.377939218, 84.8062010049, 83.3826451778, 0, 0, -13.8666673332, -2.62206078204,
28.2376128392, 92.6684217688, 93.5310222243, 0, 0, -12.0310523981, -1.76238716084,
27.5469443294, 86.6509891456, 88.5727896903, 0, 0, -13.5955089432, -2.45305567061,
28.2962519244, 87.4101906563, 91.8208361568, 0, 0, -12.0034766173, -1.70374807564,
27.9469436073, 92.242777667, 88.5727896903, 0, 0, -12.7020932515, -2.05305639274,
28.2962519244, 92.242777667, 88.5727896903, 0, 0, -11.7264156837, -1.70374807564,
28.3550611996, 86.6509891456, 88.5727896903, 0, 0, -11.4224965467, -1.64493880041,
28.3550611996, 92.6684217688, 88.5727896903, 0, 0, -11.1674299536, -1.64493880041,
27.5469443294, 83.0337212664, 83.7343208522, 0, 0, -12.9667832196, -2.45305567061,
28.4140414358, 88.9668346623, 89.3642070113, 0, 0, -11.0226963256, -1.58595856417,
28.4140414358, 89.764950729, 88.9668346623, 0, 0, -10.6082554384, -1.58595856417,
26.2338162246, 89.3642070113, 84.4460639337, 0, 0, -15.7702245066, -3.76618377535,
28.2962519244, 91.8208361568, 88.5727896903, 0, 0, -11.3456300692, -1.70374807564,
28.6516875778, 90.1691106009, 88.5727896903, 0, 0, -10.4925845009, -1.34831242217,
28.5325178991, 89.764950729, 88.9668346623, 0, 0, -10.4966941415, -1.46748210087,
26.6618278249, 83.7343208522, 84.4460639337, 0, 0, -14.8918439297, -3.33817217506,
28.5920156921, 93.0978193429, 88.9668346623, 0, 0, -10.9366863985, -1.40798430795,
28.7715568134, 91.8208361568, 49.820833293, 0, 0, -10.4110059104, -1.22844318665,
28.8921320262, 92.6684217688, 50.6747824814, 0, 0, -9.63178040602, -1.10786797384,
28.5325178991, 88.5727896903, 51.2578428316, 0, 0, -10.3036180748, -1.46748210087,
28.8317557682, 91.8208361568, 86.6509891456, 0, 0, -9.5380566037, -1.16824423181,
28.9526864024, 91.8208361568, 89.3642070113, 0, 0, -8.20864726426, -1.04731359763,
29.0743327955, 89.764950729, 88.5727896903, 0, 0, -7.65412212953, -0.925667204496,
26.9341812356, 87.4101906563, 88.9668346623, 0, 0, -12.6214277863, -3.06581876443,
28.8317557682, 92.6684217688, 89.3642070113, 0, 0, -8.70658357343, -1.16824423181,
28.1791431777, 83.7343208522, 80.9961317556, 0, 0, -9.40488261322, -1.82085682226,
29.1354264683, 90.1691106009, 88.5727896903, 0, 0, -7.27495172156, -0.864573531684,
28.8317557682, 89.3642070113, 88.9668346623, 0, 0, -7.85821353987, -1.16824423181,
28.8317557682, 90.5767322246, 88.9668346623, 0, 0, -7.88236404305, -1.16824423181,
29.013419717, 89.764950729, 89.3642070113, 0, 0, -7.32667541821, -0.986580282967,
29.013419717, 92.242777667, 89.764950729, 0, 0, -7.25400983868, -0.986580282967,
28.0627090844, 80.3374969028, 71.2640988702, 0, 0, -9.51142203101, -1.93729091555,
28.8317557682, 92.242777667, 86.6509891456, 0, 0, -8.07035947445, -1.16824423181,
29.013419717, 91.8208361568, 74.2590013217, 0, 0, -6.87533618418, -0.986580282967,
28.8317557682, 90.1691106009, 74.5426743325, 0, 0, -7.23866408186, -1.16824423181,
28.8317557682, 90.5767322246, 74.2590013217, 0, 0, -6.97761904568, -1.16824423181,
28.8921320262, 91.8208361568, 73.697544251, 0, 0, -6.95418430661, -1.10786797384,
28.8317557682, 89.3642070113, 75.6975029468, 0, 0, -7.07493682254, -1.16824423181,
28.8317557682, 89.3642070113, 75.6975029468, 0, 0, -7.07493682254, -1.16824423181,
28.7715568134, 89.764950729, 75.4057308972, 0, 0, -7.2920798937, -1.22844318665,
28.8317557682, 89.3642070113, 73.977298374, 0, 0, -7.24434756355, -1.16824423181,
28.8921320262, 89.3642070113, 75.9913561069, 0, 0, -6.79182587093, -1.10786797384,
26.8794071523, 84.4460639337, 71.0027303167, 0, 0, -11.598215065, -3.1205928477,
29.013419717, 89.3642070113, 73.697544251, 0, 0, -7.33018993555, -0.986580282967,
28.8921320262, 89.764950729, 74.2590013217, 0, 0, -7.5486148141, -1.10786797384,
26.8794071523, 84.0887822575, 70.7430962202, 0, 0, -12.3550040082, -3.1205928477,
28.1208421785, 83.7343208522, 71.0027303167, 0, 0, -10.1806498949, -1.87915782152,
28.1791431777, 84.0887822575, 68.4815715852, 0, 0, -10.3250929326, -1.82085682226,
28.8921320262, 89.764950729, 74.8283389603, 0, 0, -8.87496473253, -1.10786797384,
27.6035995905, 89.764950729, 73.977298374, 0, 0, -8.87496473253, -1.10786797384,
28.8317557682, 90.5767322246, 73.977298374, 0, 0, -8.87496473253, -1.10786797384,
28.8921320262, 89.3642070113, 74.2590013217, 0, 0, -8.87496473253, -1.10786797384,
27.7173947169, 82.6875157102, 70.2289601667, 0, 0, -8.87496473253, -1.10786797384,
28.1208421785, 84.0887822575, 69.7215507122, 0, 0, -8.87496473253, -1.10786797384,
