F, L, R, RW, LW, CE, E 
39.6783256001, 84.0887822575, 82.34399565, 0, 0, 0, 0,
39.6783256001, 85.9041048618, 85.9041048618, 0, 0, 0, 0,
41.4866815543, 92.6684217688, 91.8208361568, 0, 0, 0, 0,
41.2793763401, 89.3642070113, 90.5767322246, 0, 0, 0, 0,
41.3828226737, 94.8539958628, 91.4025472897, 0, 0, 0, 0,
41.4866815543, 91.8208361568, 91.4025472897, 0, 0, 0, 0,
35.9074635198, 85.1692291923, 80.6655647072, 0, 0, 0, 0,
41.3828226737, 100.026926809, 89.764950729, 0, 0, 0, 0,
40.0692924315, 83.7343208522, 82.34399565, 0, 0, 0, 0,
37.4527700776, 86.6509891456, 85.5351848267, 0, 0, 0, 0,
41.3828226737, 87.7945097731, 88.9668346623, 0, 0, 0, 0,
39.6783256001, 88.9668346623, 86.2760268879, 0, 0, 0, 0,
40.2670529065, 94.8539958628, 91.8208361568, 0, 0, 0, 0,
41.2793763401, 89.764950729, 90.9878620282, 0, 0, 82.732410951, 11.2793763401,
42.2254636525, 94.4090561591, 88.1820288795, 0, 0, 85.130170163, 12.2254636525,
34.0697643424, 87.4101906563, 89.3642070113, 0, 0, 64.3686212156, 4.06976434241,
26.5002179377, 73.4197180239, 23.2988802347, 0, 0, 43.585181057, -3.49978206228,
22.2024590963, 123.773552723, 44.2251495362, 0, 0, 23.4814452277, -7.79754090372,
18.3055648241, 133.481212204, 47.0129936228, 0, 0, 2.62942011895, -11.6944351759,
18.7148909704, 185.919296519, 71.0027303167, 0, 0, -7.79465505292, -11.2851090296,
18.3055648241, 204.855693422, 73.1437990683, 0, 0, -22.4596620552, -11.6944351759,
18.6803767637, 166.099941495, 69.9744232125, 0, 0, -34.3088074778, -11.3196232363,
19.4572860877, 145.877393037, 70.7430962202, 0, 0, -45.2408489211, -10.5427139123,
21.0506419802, 152.417889537, 72.3272840309, 0, 0, -54.1913777522, -8.94935801983,
23.7569041251, 70.2289601667, 80.9961317556, 0, 0, -59.8599891787, -6.24309587488,
25.9710320552, 75.4057308972, 26.2868046938, 0, 0, -60.290972691, -4.02896794484,
33.0927041668, 95.7560002023, 46.5078072859, 0, 0, -42.0921367302, 3.09270416682,
36.2423335539, 88.9668346623, 43.6546169426, 0, 0, -27.3689532815, 6.24233355391,
41.3828226737, 88.1820288795, 63.0430035292, 0, 0, -3.24162033202, 11.3828226737,
44.2251495362, 87.4101906563, 100.524154181, 0, 0, 17.7491885324, 14.2251495362,
43.2066955344, 88.5727896903, 99.0465463991, 0, 0, 30.652958955, 13.2066955344,
41.2793763401, 87.7945097731, 93.5310222243, 0, 0, 40.3577203123, 11.2793763401,
38.4480721328, 94.4090561591, 65.2120556275, 0, 0, 46.0895835247, 8.4480721328,
37.1882214677, 93.5310222243, 46.1347439128, 0, 0, 53.2524298871, 7.18822146772,
33.8405164407, 94.8539958628, 44.340704653, 0, 0, 52.6071872223, 3.84051644066,
30.3965514237, 108.022769298, 25.7117894542, 0, 0, 48.3745688095, 0.396551423727,
28.0627090844, 72.0587938061, 100.026926809, 0, 0, 40.6888870816, -1.93729091555,
25.2538432052, 77.4926639263, 98.5632561505, 0, 0, 28.4780611137, -4.74615679484,
23.3441653996, 69.2207317082, 107.451400183, 0, 0, 13.8355111382, -6.65583460038,
21.0904799558, 63.2541145971, 90.9878620282, 0, 0, -4.55266149761, -8.90952004417,
21.3719727219, 91.4025472897, 104.142879494, 0, 0, -17.0905096529, -8.62802727807,
21.4532539575, 87.7945097731, 102.044837878, 0, 0, -28.8236206112, -8.54674604246,
21.7822577485, 69.4703257665, 102.561645139, 0, 0, -38.16510166, -8.21774225154,
23.2988802347, 72.0587938061, 102.044837878, 0, 0, -43.4654614273, -6.70111976529,
25.3546594837, 94.8539958628, 101.533036819, 0, 0, -44.4454171036, -4.64534051634,
28.2962519244, 97.6101426548, 96.213179863, 0, 0, -39.8224119219, -1.70374807564,
31.8067652089, 92.6684217688, 43.6546169426, 0, 0, -30.5549516782, 1.80676520885,
34.3790545617, 83.7343208522, 26.339938476, 0, 0, -19.9352461587, 4.37905456168,
