F, L, R, RW, LW, CE, E 
41.906294266, 87.4101906563, 93.0978193429, 0, 0, 0, 0,
42.1186437585, 85.1692291923, 94.4090561591, 0, 0, 0, 0,
37.7202296354, 80.0118990209, 87.4101906563, 0, 0, 0, 0,
40.2670529065, 84.4460639337, 85.1692291923, 0, 0, 0, 0,
42.0122548643, 84.8062010049, 93.5310222243, 0, 0, 0, 0,
42.1186437585, 89.764950729, 90.9878620282, 0, 0, 0, 0,
37.8100383454, 80.6655647072, 88.1820288795, 0, 0, 0, 0,
41.906294266, 88.5727896903, 94.4090561591, 0, 0, 0, 0,
41.906294266, 85.5351848267, 90.5767322246, 0, 0, 0, 0,
40.5665919463, 80.9961317556, 85.5351848267, 0, 0, 31.9664176938, 10.5665919463,
45.1635033411, 87.7945097731, 102.561645139, 0, 0, 41.485961391, 15.1635033411,
40.768244438, 91.8208361568, 91.8208361568, 0, 0, 32.5604036528, 10.768244438,
34.9305339525, 90.1691106009, 89.764950729, 0, 0, 20.6060131135, 4.9305339525,
35.741790032, 89.3642070113, 93.5310222243, 0, 0, 21.7759989849, 5.74179003196,
35.3326421286, 101.533036819, 99.0465463991, 0, 0, 20.2897419046, 5.33264212857,
34.4570338203, 94.8539958628, 95.7560002023, 0, 0, 17.7723642942, 4.4570338203,
30.6581074001, 87.7945097731, 29.9464658783, 0, 0, 9.45931835921, 0.658107400065,
32.15651414, 99.5344139795, 25.5579130485, 0, 0, 11.4811538265, 2.15651414002,
30.8564042982, 93.0978193429, 24.6600152799, 0, 0, 7.7759451461, 0.8564042982,
31.9459947768, 96.6745563963, 25.2538432052, 0, 0, 9.09306638628, 1.94599477676,
29.013419717, 93.9680832254, 24.8558781724, 0, 0, 1.61290790441, -0.986580282967,
31.8067652089, 114.080241288, 25.7117894542, 0, 0, 6.30345096513, 1.80676520885,
31.9459947768, 103.610586789, 25.1535613113, 0, 0, 6.28345618338, 1.94599477676,
32.01594345, 101.533036819, 25.7117894542, 0, 0, 6.05076887158, 2.01594344996,
29.1354264683, 91.8208361568, 25.0041308281, 0, 0, -0.32998665774, -0.864573531684,
31.8762690649, 108.022769298, 25.5579130485, 0, 0, 4.89362205989, 1.8762690649,
31.7374821105, 103.083535332, 25.7633582228, 0, 0, 4.72398562219, 1.73748211053,
30.7901005244, 95.3029582232, 25.1036193814, 0, 0, 2.69258108838, 0.790100524402,
28.7115343516, 90.9878620282, 24.9545831227, 0, 0, -1.67903825194, -1.28846564842,
30.9229142027, 93.9680832254, 24.3700260221, 0, 0, 2.64141339287, 0.922914202682,
31.8067652089, 103.610586789, 25.1036193814, 0, 0, 4.68844995439, 1.80676520885,
31.9459947768, 97.6101426548, 25.6090674458, 0, 0, 4.980832047, 1.94599477676,
28.7115343516, 107.451400183, 24.8067198635, 0, 0, -1.81153484589, -1.28846564842,
31.8762690649, 115.372360974, 25.4052694061, 0, 0, 4.50396714225, 1.8762690649,
30.9229142027, 90.9878620282, 25.0041308281, 0, 0, 2.77600619125, 0.922914202682,
31.8762690649, 103.610586789, 25.1535613113, 0, 0, 4.68271591569, 1.8762690649,
31.8762690649, 100.524154181, 25.2538432052, 0, 0, 4.69659461113, 1.8762690649,
31.8067652089, 100.524154181, 25.7117894542, 0, 0, 4.65925336747, 1.80676520885,
31.8067652089, 100.524154181, 25.5068956226, 0, 0, 4.9687764532, 1.80676520885,
31.9459947768, 101.0261668, 25.9189026023, 0, 0, 5.34954364643, 1.94599477676,
28.2376128392, 85.9041048618, 23.7105790614, 0, 0, -2.42413546573, -1.76238716084,
31.3943400639, 104.680495125, 25.6090674458, 0, 0, 3.83415351251, 1.39434006393,
31.7374821105, 97.1401901496, 25.5579130485, 0, 0, 4.8230323816, 1.73748211053,
31.0565564118, 109.772943263, 25.1036193814, 0, 0, 3.37920971883, 1.0565564118,
28.8921320262, 106.326122685, 24.6600152799, 0, 0, -1.15271727009, -1.10786797384,
31.8762690649, 103.610586789, 25.8150662784, 0, 0, 4.81555680739, 1.8762690649,
31.8762690649, 100.026926809, 24.3221318464, 0, 0, 4.81555680739, 1.8762690649,
31.7374821105, 100.026926809, 25.4052694061, 0, 0, 4.53105458881, 1.73748211053,
28.9526864024, 93.9680832254, 24.7087889404, 0, 0, -1.32394470816, -1.04731359763,
31.7374821105, 97.1401901496, 25.5579130485, 0, 0, 4.22479544154, 1.73748211053,
31.8067652089, 99.0465463991, 25.2538432052, 0, 0, 4.72027687516, 1.80676520885,
30.7901005244, 84.8062010049, 24.6600152799, 0, 0, 4.72027687516, 1.80676520885,
31.7374821105, 101.0261668, 25.4560145977, 0, 0, 4.72027687516, 1.80676520885,
